hotelID,Hotel_Name
13_3,Oasis Retreat - Muong Thanh Vien Trieu
13_8,DTX Hotel Nha Trang
14_14,Wyndham Grand KN Paradise Cam Ranh
14_16,"Nha Trang Marriott Resort & Spa, Hon Tre Island"
14_9,Khách sạn Thiên Trường (Thien Truong Hotel)
15_1,Khách sạn Sao Việt Nha Trang (Sao Viet Nha Trang Hotel)
15_12,Hà Nhung Hotel Nha Trang
15_17,Khách Sạn Seana (Seana Hotel)
15_18,Muong Thanh Apartments
15_22,"Chung cư 47 m² 1 phòng ngủ, 1 phòng tắm riêng ở Lộc Thọ (Sea view Family 2 adult 2 children Free Pool & Gym)"
15_27,Khách sạn Novotel Nha Trang (Novotel Nha Trang Hotel)
15_28,"Bungalow 24 m² 1 phòng ngủ, 1 phòng tắm riêng ở Vĩnh Phương (Colours Land Home . View garden and river)"
15_29,"Căn hộ 65 m² 1 phòng ngủ, 1 phòng tắm riêng ở Xương Huân (Coastal House Nha Trang)"
15_30,"Chung cư 70 m² 2 phòng ngủ, 2 phòng tắm riêng ở Vĩnh Phước (Beach Front Modern Condominium Comfortzone )"
15_7,An Lam Retreats Ninh Van Bay
16_10,Khách sạn Xavia (Xavia Hotel)
16_13,"Biệt thự 400 m² 4 phòng ngủ, 5 phòng tắm riêng ở Suối Hải (SAN VILLA )"
16_14,HANZ Panorama Grand Residencé
16_15,HANZ Muong Thanh Vien Trieu Condo Hotel
16_18,Khách sạn Queen Ann Nha Trang (Queen Ann Nha Trang Hotel)
16_21,"Căn hộ 106 m² 3 phòng ngủ, 2 phòng tắm riêng ở Vĩnh Phước (Tom's Sea view Smart Huge 3bdr-Apt. in Nha Trang)"
16_28,Khách Sạn TTC - Michelia (TTC Hotel - Michelia)
16_29,HÀO PHÁT HOTEL NHA TRANG
16_4,Green Lighthouse (Green Lighthouse Hotel)
16_5,Victor Condotel Cam Ranh
16_7,Khách sạn Grand Gosia (Grand Gosia Hotel)
17_1,"Chung cư 68 m² 2 phòng ngủ, 2 phòng tắm riêng ở Xương Huân (Baymax Home. Muong Thanh Apartment 2BR Riverview)"
17_11,Biệt Thự Venity Nha Trang (Venity Villa Nha Trang)
17_19,Huong Condotel Wyndham Garden Cam Ranh
17_7,HANZ Beach Panorama Condo Hotel
18_10,"Căn hộ 100 m² 3 phòng ngủ, 2 phòng tắm riêng ở Lộc Thọ (Maple 3 bedroom apartment)"
18_12,Khách Sạn Vesna (Vesna Hotel)
18_13,The Arena Cam Ranh Beach seaside
18_16,Muong Thanh Beachfront Apartment Nha Trang
18_17,Gold Coast Nha Trang Luxury Apartment - Ocean View
18_2,Cam Ranh Mystery Villas & Spa
18_26,"Căn hộ 35 m² 1 phòng ngủ, 1 phòng tắm riêng ở Biển Bãi Dài (Rosemary Home @ Long Beach- Cam Ranh)"
18_27,"Khu nghỉ dưỡng, Khách sạn và Spa Yasaka Sài Gòn (Yasaka Saigon Resort Hotel & Spa)"
18_29,"Căn hộ 25 m² 4 phòng ngủ, 1 phòng tắm riêng ở Vĩnh Hòa (Huy Khang HOMESTAY)"
18_4,Rosemary Home @ Bai Dai Beach Nha Trang
18_5,Thời Bình Hotel
18_9,"Biệt thự 700 m² 5 phòng ngủ, 3 phòng tắm riêng ở Vĩnh Thạnh (Nha Trang Riverside Villa)"
19_16,Khách sạn Sochi (Sochi Hotel)
19_4,Căn hộ studio 1100 m² có 1 phòng tắm riêng ở Vĩnh Phước (MCR Apartments Nha Trang)
19_6,Masova Hotel
1_1,Khách sạn Mường Thanh Luxury Nha Trang (Muong Thanh Luxury Nha Trang Hotel)
1_10,Olwen Hotel
1_11,RIS Panorama Nha Trang
1_12,Khách sạn AZURA (Azura Hotel)
1_13,Senkotel Nha Trang do NEST Group quản lý (Senkotel Nha Trang Managed by NEST Group)
1_14,Khu nghỉ dưỡng bãi biển Meliá Vinpearl Cam Ranh (Meliá Vinpearl Cam Ranh Beach Resort)
1_15,Khách Sạn Erica Nha Trang (Erica Nha Trang Hotel)
1_16,The Summer Hotel
1_17,Panorama Nha Trang Ocean View
1_18,Pavillon Boutique Hotel & Apartment Nha Trang
1_19,Royal HPM Hotel
1_2,ALPHA BIRD NHA TRANG
1_20,Golden Lotus Central Hotel
1_21,Libra Nha Trang Hotel
1_22,Khách Sạn Apollo Nha Trang (Apollo Hotel Nha Trang)
1_23,Holi Panorama Nha Trang
1_24,Khu nghỉ dưỡng Alma Cam Ranh (Alma Resort Cam Ranh)
1_25,Khách sạn Marilyn Boutique Nha Trang (Marilyn Boutique Hotel Nha Trang)
1_26,khách sạn phố ngọc
1_27,Khách Sạn Smile (Smile Hotel)
1_28,Khách Sạn Regalia Gold (Regalia Gold Hotel)
1_29,Khách sạn Paris Nha Trang (Paris Nha Trang Hotel and Apartment)
1_3,Khách sạn Aaron (Aaron Hotel)
1_30,Areca Hotel Nha Trang
1_4,Panorama Star Beach Nha Trang
1_5,Khách sạn Balcony Nha Trang (Balcony Nha Trang Hotel)
1_6,Căn hộ Kymodo Panorama (Kymodo Panorama Apartment)
1_7,Khách sạn Mega Light (Mega Light Hotel)
1_8,Navada Beach Hotel
1_9,Khách Sạn Anrizon Nha Trang (Anrizon Hotel Nha Trang)
20_18,Khách Sạn Crown Nha Trang (Crown Hotel Nha Trang)
20_2,Khách Sạn MerPerle Beach (MerPerle Beach Hotel)
20_28,Santorini Villa Cam Ranh
21_27,Khách Sạn Senia Nha Trang (Senia Hotel)
21_5,"Nhà riêng 136 m² 4 phòng ngủ, 5 phòng tắm riêng ở Cam Hải Đông (Beach side - Perfect for family)"
21_8,Khách sạn Alana Nha Trang (Alana Nha Trang Beach Hotel)
22_1,Khách sạn Galina & Spa (Galina Hotel & Spa)
22_16,Venue Hotel
22_7,Khách Sạn và Spa Emerald Bay (Emerald Bay Hotel and Spa)
23_15,Condotel Arena's at Bai Dai Beach Nha Trang
23_25,Khách sạn Quinter Central Nha Trang (Quinter Central Nha Trang Hotel)
23_5,Residence Inn Villa Cam Ranh
24_17,MAJESTIC PREMIUM
24_22,Rigel Hotel
24_30,Spring Home-The Cam Ranh Resort
24_5,Khách sạn Pavillon Garden Nha Trang (Pavillon Garden Hotel Nha Trang)
25_10,Khách Sạn Agnes Nha Trang (Agnes Nha Trang Hotel)
25_16,Chung cư studio 40 m² có 1 phòng tắm riêng ở Vĩnh Hòa (Free Motorbike - 1st Floor Apartment-TV w/ Netflix)
26_17,Aquamarine Resort Hotel Cam Ranh
26_27,Nha Trang Lodge Hotel
26_28,"Nhà mặt đất 23 m² 1 phòng ngủ, 1 phòng tắm riêng ở Vĩnh Hòa (Beautiful balcony studio suitable for long stay)"
26_4,HANZ Condo Hotel Muong Thanh Vien Trieu
26_7,KHÁCH SẠN và CĂN HỘ AZURA GOLD (AZURA GOLD HOTEL and APARTMENT)
26_9,"Biệt thự 240 m² 3 phòng ngủ, 4 phòng tắm riêng ở Biển Bãi Dài (Villa 3 phòng ngủ Cam Ranh Mystery Villas & Spa)"
27_12,Vanda Hotel Nha Trang
27_17,Luu Gia Hotel
27_23,Căn hộ Mường Thanh Viễn Triều Nha Trang (Mường Thanh Viễn Triều Nha Trang Apartment)
27_26,"Chung cư 80 m² 2 phòng ngủ, 2 phòng tắm riêng ở Vĩnh Phước (snail ocean view apartmen Hotel-1532)"
27_27,BN Center Hotel - Nguyen Thi Minh Khai
28_24,InterContinental Residences Nha Trang
28_3,Suite 4528 by Phi Yen Muong Thanh 60 Apartment
28_7,Khách sạn Le Soleil Nha Trang (Le Soleil Hotel Nha Trang)
29_14,Moonlight Bay Panorama Ocean View
29_24,Ccasa hostel
29_4,Khách sạn Mỹ Ca (My Ca Hotel)
29_8,"Căn hộ 72 m² 2 phòng ngủ, 2 phòng tắm riêng ở Vĩnh Phước (Deluxe Family OceanView 2 Bedroom,Oceanus HonChong)"
2_1,Khách sạn New Sun Nha Trang (New Sun Hotel Nha Trang)
2_10,Oceanus Oasis Retreat Muong Thanh Vien Trieu
2_11,Maris Hotel Nha Trang
2_12,Căn hộ bãi biển Pearl Nha Trang (Pearl Nha Trang Beach Apartment)
2_13,Panorama Nha Trang by HLG
2_14,Khách sạn Imperial Nha trang (Imperial Nha Trang Hotel)
2_15,Khu nghỉ dưỡng Duyên Hà - Cam Ranh (Duyen Ha Resort Cam Ranh)
2_16,Meliá Vinpearl Nha Trang Empire
2_17,Nha Trang Horizon Hotel
2_18,TK Nha Trang Hotel
2_19,Royal Hotel Nha Trang
2_2,Muong Thanh Grand Nha Trang Hotel
2_20,Khách sạn V Nha Trang (V Hotel Nha Trang)
2_21,Khách sạn BlueSea 10
2_22,TRUONG THINH HOTEL
2_23,The Anam Cam Ranh
2_24,DB Hotel Nha Trang
2_25,Khách sạn Ale Nha Trang (Ale Nha Trang Hotel)
2_26,Khách Sạn Starcity Nha Trang (StarCity Nha Trang Hotel)
2_28,Khách sạn Prague Nha Trang (Prague Nha Trang Hotel)
2_29,Khách sạn & Spa Boton Blue (Boton Blue Hotel & Spa)
2_3,ELITE HOTEL NHA TRANG
2_30,Khách sạn Art Nest Nha Trang (Art Nest Hotel Nha Trang)
2_4,Khu nghỉ dưỡng Amiana Nha Trang (Amiana Resort Nha Trang)
2_5,Khách sạn Boutique Seasing (Seasing Boutique Hotel)
2_6,Golden Nha Trang Hotel
2_7,The Swan Hotel
2_8,Dubai Nha Trang Hotel
2_9,Panorama Nha trang & Breakfast
30_11,Wise Stay Gold Coast
30_18,Sun City Hotel
30_26,Green Home Nha Trang
31_2,"Nhà riêng 68 m² 2 phòng ngủ, 2 phòng tắm riêng ở Vĩnh Phước (Nice view 2 Bedroom + Balcony, Beachfront)"
31_4,Khách sạn TND (TND Hotel)
32_14,An Vista Hotel
32_24,Grand Ocean Panorama Nha Trang
32_4,King Hotel
33_20,The Arena Cam Ranh Beach Resort - Near The Airport
33_21,Khách sạn Long Hồ (Long Hồ Hotel)
33_22,Khách Sạn Sun Kiss (Sun Kiss Hotel)
33_29,Hong Mai Hotel Nha Trang
33_4,Panorama Beachfront Nha Trang Condotel
34_24,"Căn hộ 40 m² 1 phòng ngủ, 1 phòng tắm riêng ở Biển Bãi Dài (Sea Moon Cam Ranh Beach House)"
34_26,Sun and Sea Mường Thanh Holidays (Sun and Sea Muong Thanh Holidays)
35_16,Khách Sạn Ruby (Ruby Hotel)
35_26,Khách sạn Galliot (Galliot Hotel Nha Trang)
35_6,Bondi Backpackers (Bondi Backpackers Nha Trang)
36_12,"Chung cư 72 m² 2 phòng ngủ, 2 phòng tắm riêng ở Vĩnh Phước (Beach View 3 Condominum Comfortzone(12a))"
36_13,Căn hộ HighSea Nha Trang (HighSea Nha Trang Apartments)
36_14,Khách sạn Vân Nam Nha Trang (Van Nam Hotel Nha Trang)
36_23,Khách sạn Nalicas (Nalicas Hotel)
36_24,"Nhà mặt đất 30 m² 1 phòng ngủ, 1 phòng tắm riêng ở Xương Huân (Palm City Luxury Stay)"
36_25,"Chung cư 63 m² 2 phòng ngủ, 1 phòng tắm riêng ở Lộc Thọ (Panorama Seaview 63m2, Huge Balcony, Pools & Gym)"
36_6,Khu Du Lịch Hòn Ông (Whale Island Resort)
37_14,ISeaview Heritage Boutique Hotel
37_28,"Biệt thự 250 m² 6 phòng ngủ, 6 phòng tắm riêng ở Cam Hải Đông (Room#102- Garden view- H2B Homestay Bai Dai Beach)"
37_3,Sky Beach D20 Nha Trang
38_15,Sun And Sea Apartment Nha Trang
38_25,Khu nghỉ dưỡng Paradise Dốc Lết - Trọn gói (Paradise Resort Doc Let - All Inclusive)
38_5,La Casa Hotel Nha Trang
38_7,Khách Sạn Arima (Arima Hotel)
39_17,Gold Coast Hotel Nha Trang
39_6,Khách sạn Magnolia Cam Ranh (Magnolia Hotel Cam Ranh)
39_7,Khách sạn & Căn hộ Moonlight Bay (Moonlight Bay hotel & apartment)
39_8,SANDALS ISLAND HOTEL
3_1,TUI BLUE Nha Trang
3_10,Khách sạn Dendro Gold (Dendro Gold Hotel )
3_11,Green Beach Nha Trang
3_12,The Time Nha Trang Hotel
3_13,Vinpearl Resort & Spa Nha Trang Bay
3_14,Starlight Nha Trang
3_15,A Páo Cafe & Homestay
3_16,ibis Styles Nha Trang
3_17,Khách sạn Skylight Nha Trang (Skylight Nha Trang Hotel)
3_18,Khách sạn Bonjour Nha Trang (Bonjour Nha Trang Hotel)
3_19,Khách sạn Super OYO 598 Peony (Super OYO 598 Peony Hotel)
3_2,Full House Hotel
3_20,Khách sạn Blue Pearl (Blue Pearl Hotel)
3_21,OYO 942 Căn Hộ Cường Hải (OYO 942 Cuong Hai Apartment)
3_22,Shoho Hotel Nha Trang
3_23,Fusion Resort Cam Ranh – All Spa Inclusive (Fusion Resort Cam Ranh - All Spa Inclusive)
3_24,Oasis Nha Trang Hotel
3_25,Khách Sạn Ventana Nha Trang (Ventana Nha Trang Hotel)
3_26,Aaron Boutique Hotel
3_27,GM Doc Let Beach Resort and Spa
3_28,The Costa Nha Trang (The Costa Nha Trang Residences)
3_29,Khách sạn Nagar Nha Trang (Nagar Hotel Nha Trang)
3_3,Khu Nghỉ Dưỡng Movenpick Cam Ranh (Movenpick Resort Cam Ranh)
3_30,Grand Tourane Nha Trang Hotel
3_4,Handy Panorama Nha Trang Ocean View
3_5,TTC Van Phong Bay Resort
3_6,Khách sạn Thái Bình (Khach san Thai Binh)
3_7,Annova Nha Trang Hotel
3_8,OYO 898 Khách sạn Phương Thảo (OYO 898 Phuong Thao Hotel)
3_9,Khu nghỉ dưỡng và Spa Pax Ana Dốc Lết (Pax Ana Doc Let Resort and Spa)
40_1,Stella Maris Nha Trang Hotel
40_11,iSea by the sea
40_15,"Căn hộ 68 m² 2 phòng ngủ, 2 phòng tắm riêng ở Xương Huân (Căn hộ Mường Thanh luxury)"
40_19,"Chung cư 64 m² 2 phòng ngủ, 2 phòng tắm riêng ở Vĩnh Phước (Nallan Host - 2BR APT SEA FRONT - FREE AIRPORT P/U)"
40_21,Khu biệt thự Casa Blanca (Casa Blanca Villas)
40_30,"Căn hộ 774 m² 2 phòng ngủ, 2 phòng tắm riêng ở Vĩnh Phước (Two Bedroom Sea View Apartment)"
41_1,Khách sạn West Lake - Gần Bãi Dài (West Lake Hotel - Near Bãi Dài Beach)
41_13,"Căn hộ 42 m² 1 phòng ngủ, 1 phòng tắm riêng ở Lộc Thọ (Panorama Apartment Sunset Nha Trang City)"
41_19,Khách Sạn Aloha Nha Trang (Aloha Hotel Nha Trang)
41_22,Khách Sạn Nha Trang Pearl (Nha Trang Pearl Hotel)
42_1,Phi Yen Muong Thanh 60 Apartment
42_10,The Oceanfront Apartment At Cam Ranh
42_29,Khách sạn boutique CoastHouse (Coast House Nha Trang)
43_19,Escalade Experience Resort
43_29,Khách sạn Thái Bình Cam Ranh (Thai Binh Cam Ranh Hotel)
43_9,Khách sạn Gibson Nha Trang (GIBSON HOTEL NHA TRANG)
4_1,Khu nghỉ dưỡng Khách sạn & Spa Champa Island Nha Trang (Champa Island Nha Trang - Resort Hotel & Spa)
4_10,Khách sạn Poseidon Nha Trang (Poseidon Nha Trang Hotel)
4_11,Blue Sea 2 Hotel Nha Trang
4_13,Happy Star Hotel Nha Trang
4_16,Khách sạn Dqua (DQua Hotel)
4_17,Khách sạn Red Sun Nha Trang (Red Sun Nha Trang Hotel)
4_19,PANAMA Nha Trang Hotel
4_2,The Sea Luxury Nha Trang Apartment
4_20,Khách sạn Orbit (Orbit Hotel)
4_23,Khách sạn Havana  Nha Trang (Havana Nha Trang Hotel)
4_25,Diamond Bay Hotel
4_26,La Sera Suites Nha Trang
4_29,Trieu Khang Hotel
4_3,Gonsala Hotel Nha Trang
4_4,Seaview Cam Ranh
4_5,Heritage Boutique Sierra Legend
4_6,Khách sạn Alibaba (Alibaba Hotel)
4_7,Khách sạn & Căn hộ Hà Trang (Ha Trang Voronezh Hotel and Apartment)
4_8,Khách Sạn Boutique Em Ơi (Em Oi Boutique Hotel)
5_1,Nomad Apartment
5_10,Green World Hotel Nha Trang
5_11,Ocean Waves Resort Cam Ranh
5_12,Odessa Hotel
5_13,Virgo Hotel
5_14,Realus Sea-view Apartment in Cam Ranh Nha Trang
5_15,The Anchor Apartment
5_16,Khách sạn MCR Luxury Nha Trang (The MCR Luxury Nha Trang Hotel)
5_17,Khách Sạn Cliff Nha Trang (Cliff Hotel Nha Trang)
5_18,Khách san Luxury Nha Trang (Luxury Nha Trang Hotel)
5_19,Uy Duong Hotel & Apartment - Nha Trang
5_2,TOP Panorama Nha Trang
5_21,"Chung cư 72 m² 2 phòng ngủ, 2 phòng tắm riêng ở Vĩnh Phước (Beauty and The Beach Condominium Comfortzone)"
5_22,BN Hotel Nha Trang
5_23,KHÁCH SẠN SEAESTA NHA TRANG (SEAESTA NHA TRANG HOTEL)
5_24,Khu Nghỉ Dưỡng Swandor Cam Ranh-Trọn Gói (Swandor Cam Ranh Resort-Ultra All Inclusive)
5_25,Arena Cam Ranh Resort by Realus
5_27,KHÁCH SẠN APOLLO VACATION (HOTEL APOLLO VACATION)
5_3,Ana Mandara Cam Ranh
5_30,Holi Anna Boutique Hotel
5_4,Lotus Village Nha Trang
5_6,Khách sạn và Spa Florida Nha Trang (Florida Nha Trang Hotel And Spa)
5_7,Khách Sạn Hướng Biển Aqua (Aqua Seaview Hotel)
5_8,Muong Thanh Vien Trieu Hotel & Apartment Nha Trang
5_9,Panorama Nha Trang By Risco
6_10,Khách sạn Starlet (Starlet Hotel Nha Trang)
6_11,Mia Resort Nha Trang
6_12,"Panorama Nha Trang (Panorama Nha Trang - 2 Nguyen Thi Minh Khai, Nha Trang)"
6_13,Sep'on Heartfulness Centre
6_14,CAM RANH NHA TRANG SEAVIEW RESORT
6_15,Căn hộ dịch vụ hướng biển ở Cam Ranh - Nha Trang (JOY Sea-View Serviced Apartment in Cam Ranh - Nha Trang)
6_17,Boma Resort Nha Trang
6_18,Homie Panorama Nha Trang
6_23,Potique Hotel
6_27,Vinpearl Beachfront Nha Trang
6_5,The Empyrean Cam Ranh Beach Resort
6_6,Hien Luong Hotel Nha Trang
6_7,Hải Phát Hotel
6_8,Khu nghỉ dưỡng Arena Cam Ranh gần Sân bay (Arena Cam Ranh Resort near Airport)
6_9,Angella Hotel Nha Trang
7_11,Phan Gia Xanh Garden
7_12,Arenas Cam Ranh Resort
7_19,"Căn hộ 1000 m² 14 phòng ngủ, 14 phòng tắm riêng ở Suối Hải (Motel An Bình _ homestay)"
7_26,Khu Nghỉ Dưỡng Radisson Blu Vịnh Cam Ranh (Radisson Blu Resort Cam Ranh)
7_29,"Căn hộ 35 m² 1 phòng ngủ, 1 phòng tắm riêng ở Biển Bãi Dài (Angela Serviced Apartment (near Airport Cam Ranh))"
7_4,Pandora Panorama Nha Trang
7_6,Saphia hotel Nha Trang
7_7,Khu nghỉ dưỡng Alibu Nha Trang (Alibu Resort Nha Trang)
7_9,Panorama Center Ocean View
8_15,Khách sạn Nhi Phi (Nhi Phi Hotel Nha Trang)
8_27,Vinpearl Luxury Nha Trang
9_14,The Pool Villa Cam Ranh - All Private Pool Villas
9_15,OYO 1028 Căn Hộ Flower House (OYO 1028 Flower House Apartment)
9_17,Angela Cam Ranh( gần sân bay Cam Ranh) (Angela Cam Ranh( near the Airport Cam Ranh))
9_24,Khu nghỉ dưỡng Selectum Noa Cam Ranh (Selectum Noa Resort Cam Ranh)
9_5,"Căn hộ 30 m² 1 phòng ngủ, 1 phòng tắm riêng ở Vĩnh Hòa (Affordable and cozy studio)"
9_7,Vinpearl Resort Nha Trang
